address,version,entity
8023D5AE51BE25A08BDA3B1FC35F9EEACF6F917C8C4132F32E03BF805CBF9C614D3E970F67AE6E7324C4A9FEFDFDF9D3,ETH2.0,KuCoin
8039238445CAE1877D41B638019A69D618240820D6437A447CB8E9D2A164B17B8CC75D7715A4C28B7FE482F550C164A2,ETH2.0,KuCoin
803A06BE0BAA6E453F18ABA5F293375082A6051362CB2232DB6526FBB6E565C32B0686703EDD1AFF976B8927B4B53A20,ETH2.0,KuCoin
8044D7548C97606271630C3C3F83391F34006F27E2992EDA1A20D911CF543D1E26A62141D1B51514F4DBB09C0CC0BDFD,ETH2.0,KuCoin
804CBE1EBEAC56EE82084D9D56467E6D9C015AAA15C799EBBC0C4037640645E7A8BB49015A39756691D1B2BB1319DDDC,ETH2.0,KuCoin
804EF611D6B17C673997D00171B33E058CFAE59328AE07288020F07A7AC36F6857D7D07FE610B9CADCB30DDE2C748156,ETH2.0,KuCoin
80693B6C7DDA3F1072AF925A20B0915E9DA03AFCEE9B307070431B7B1F3B0CCC11D4F1B2E6D5C8352647F76357FE31DF,ETH2.0,KuCoin
807D4CE7B1FA31CAF5F65C5F6CEFAC0B77DB8055D88439EBDE0998BC6AC458624B1218D87C6261C4FC57256D847BC120,ETH2.0,KuCoin
807F2FA352F7C7B8A772248EBAC2C587A7142D72B3CC6083C2395E4849942E90D00E4F953752C7939BB3FB129AD5FADB,ETH2.0,KuCoin
807F611C61516B2E4332285FBF39DF89B979C6544EFEADD01B950A4AFA787CEB2D804DEFAA152AD52A5C52CEDF2A5BD0,ETH2.0,KuCoin
808524B42C3C6257DCD40C6DC7C1DE39B063C4FA6336E4A3013B2B5A52CEC6C73D740A917F0AB1174D2B5DEB1E3B1472,ETH2.0,KuCoin
8086509551AA804370A3045F096A79090F5F6ED2940770BE544A44ED80A72E9767B0BD52F5E6C4F5DD2746CBDFE9C1ED,ETH2.0,KuCoin
80866BC44B646185E130724B84FA91D315F6E9A489F4D702DE339DFC8B74734BCD6152B6E57613A43345B2DCB2C60CC6,ETH2.0,KuCoin
8087081D218886E49B98620386DAB78B55C2379BC5F471B8029BB39BD26D6D536A7C83206B62189A4E2F74997D84A414,ETH2.0,KuCoin
809655A6D1B9DBD3AFB98DD625ED6897BD6A53A3A9FBB939B738B5AAE3A9C0E0C15B9B02CA6D6A8F82B145BE970B9D14,ETH2.0,KuCoin
80AFEF029F3EC09D21C486F3AC7C4AB4F74D588A8A1ECEB49D8321F5A68AB8C6045B55CA39FA477E8AF648EEF8EBD392,ETH2.0,KuCoin
80C16506C95D48BAEC651AD994AD59F3476F4D110EBB7CF63DABED7DDDB01C815E952A7E38A19AEBA7792D040D6EB7D4,ETH2.0,KuCoin
80D8467378DD0BA919A5E90158EF46AF4B790D318638BCB54123508403D137A312F11C7F10802BF1381A4C491AA0FCE2,ETH2.0,KuCoin
80E1717C022EE5266CB92B000111923EACEFD6AC8E6F5B73EE97EF8AA6F936C8C293026013C1EF6F90F3BCC1D7E308B9,ETH2.0,KuCoin
8100A59CD50DD4D238B19510DA406EC68942DEDA90B710EB06584E58EC3DE146591E58712DFE5EF3012157E263A3E4C2,ETH2.0,KuCoin
8106179FA66BA04EEAF37DBB8132477B6C1635A781ED3F71C9ABC2CD9B1CE3EB8128C974E6E9152F2CE6857AB9FDE14C,ETH2.0,KuCoin
81096055E285CEC8F3758A07C32E952B11B6F19F82243CFE096DB79A551EE084034453755D3280B3FFD6D5DC91A78484,ETH2.0,KuCoin
810CDC9CF34B42EA9E61E959255FF82EA1BD363D7EDC97BCD6604255D1DAF971A6863063F74D6C86ED6A2A1E00FF80F7,ETH2.0,KuCoin
8146EC570938D554CD9D60C416223C11983896C298AF7C304FDAD6210A7ABE27EF6029FFF400396855A97CE23544FD56,ETH2.0,KuCoin
8161CE2CDD66AF37D4508512AA573738FE808634A8B7D7204A2F90FB5567A805363AD178429857C17103886D9F234C85,ETH2.0,KuCoin
81679FF6D12FEA5A0778F4CBB4AC2BBBA5C842FC4BC7D96A7EF245679A06B2EA9E03BE7FDFC1CFFDC950B852B123F776,ETH2.0,KuCoin
8172540C2D36A7703B2A5CEB7A81F0880361DBE8ACAA949764886A0089FACFCBB0955E0625F3B16A18F09DBEC127BE70,ETH2.0,KuCoin
81966EA31F7B993A18622A965BBD94364F00B7D48A9D629DCA1309D32A2D15B48F6C528CE9556B8A8F8F161E48983918,ETH2.0,KuCoin
81A1565FA28DDEFAC5694C98D458C40A3A9AD3C8A12F37962301B07182AF529BE48D1A626E92B627841DA3C68740CDF9,ETH2.0,KuCoin
81A5BB91168A78B7C7022697413194A0494DDF56E4E92C265E6404596671084800EF9DAB13CD9B11BA723BCB2A12A09F,ETH2.0,KuCoin
81AB872823647DA0D7EA267D09B4B351D485EC804E01FFEAFB366F788FB38D0F41AABC687C66AE8C3A67253422429F57,ETH2.0,KuCoin
81ABE8B8400507D70884D0737C318AC2866D8131AF3C276D456226585178D0306A1BDE6EAE08691C2423465B353ED6BF,ETH2.0,KuCoin
81B0E2A623656C902041B001AC742CA865B1408869C62A3669628B7E20881F8C222A93875D9F7626650F8B393E416DB6,ETH2.0,KuCoin
81C7C703E39D17679E2CE9997C5E05674A7B6DDAC607B8E1AC613C46AFC1429034E7C113D2829B2B95B87970EF59DF13,ETH2.0,KuCoin
81CF738BB5A3B575A606166262C6C66D1B39A2B00F2C859B0CA8AA26137804E8D2C0C175FFAB9B33CF76B019D0D30911,ETH2.0,KuCoin
81CF8D53473F1B10201CB56D4241B2C1D2F540A1862251FAA9129BDD00DAF75CD11F1D5EB12BC2B535F5C87F15C4F6C6,ETH2.0,KuCoin
81D31745A73B432D8392D2F4091B6F1188AAE5F51835E10C7406C4B823671353E917D6CEFA0DC3B23032C53B25E79CF7,ETH2.0,KuCoin
81E38204280639D54646EA79E5F236DA5C7F28B65E2EC6830DDD2DB6D586888F1496A23437E854D1CE493FDC5CD541DD,ETH2.0,KuCoin
81F21B8FFA4F9FD60FB1D9FA5BDA2DCA39B7A7F55C3F3D41F86D7E902A66536F69CE05253FAE95A852C920BEAEADE164,ETH2.0,KuCoin
81FDA8FAED421EB12AEF162B7B77A153CBF92DD6417C0D31B3505A1CB6C38B10F4D9A7DC44FCD5F0CF9B83A1140D3184,ETH2.0,KuCoin
8204CA50A9EC3011E45AED5CDEA4BA0D35B5454FF3D4420680BD0A7BE689BA4600ACD4D5A59EC3FF7B6A2A24F501E21A,ETH2.0,KuCoin
820B4A7F51F9FF9BFBB01C36F3FEE35044D2692F13BC3A0894DB5FB8ED4D1DB71C1AC75CBAEBD75749591D6D1CED82F4,ETH2.0,KuCoin
820F47D96CE73229F60D51801418011C1DEAB7A01478997021D1E7F74F06958C4C213BB6D0D99BB02EC68187F5AE9E04,ETH2.0,KuCoin
