address,version,entity
800FB9F9836685207B43BD4D6507B22779F3B006BFF572118F874116A14428E526735DA35CCBC2D5649FC81ED0528857,ETH2.0,Gemini
8012344751DC89557CC16F4B76D3D18DB4228AD02616CBC1BA2C117E1468CFC2DD75E471BFEEE6D83EB8813EE724BA38,ETH2.0,Gemini
8027E98E84FA73E6ED1CE379272EE09C9BFAA13BCF8AE945503EE10B05C5F8BF2F6BB8E79FC462F199530C521BB92EE5,ETH2.0,Gemini
8037234654F8F1B2371EF2BAF7838F0FE6E70DAA87976DC20A509A9E26588CD7653710AE0A6C7ACDB1AB3F4F823ED07C,ETH2.0,Gemini
805F878943320457736F7B8E1351CA746EB5CE846F7D32D7F6891D9E57AF83713CEC6D6E74C672BA2BFBBAE16B1CB62B,ETH2.0,Gemini
8082928A8885BF7081599937E8A2E0755EF42193610AA19C7D8E57F8A3F6727FBA5D147A647EDD77563E032479B59B5C,ETH2.0,Gemini
8085D149DECB93797926ED714797627A1880731395E24940E9D03A28032E9DF26C1AF2BA654F079A974B7086878A7ADF,ETH2.0,Gemini
80BF51718C7DDA3969AFA4A11A93815024C09D631CE0852642F3C30D746738513417253FF5E7DCAAEA3D324968C81C46,ETH2.0,Gemini
80D41D6D6E43E7B8574E3E589188A328D10D6B9F9692A422E948EFD04A9F464FAC588C9959145C4231A2C992FFA71236,ETH2.0,Gemini
8114495B875FE9272EB88CE4F70A70F360667274967E0AF6DF5560B0D4B9C66BCCD03E30FC4126EA69D0D870A5A13085,ETH2.0,Gemini
811C6A10A00A06A4558C7021F267D517269A17161F2C1E4C1F415AE38E504888FCCB3D167D0C6E79D31B03E4D2EE4212,ETH2.0,Gemini
811E71EC4DF9F3E573C7AF5D2BC4812545B7C74EFC617994970BB8755A616D81EEE6E5F8F98E359FE136EB44BB18611C,ETH2.0,Gemini
813637876FB698E2AD2389ABFDE936E6F957C2A0D12DC2F65FE17B023878164ABB6FD800BEAC90D15D4576D0B6CC379B,ETH2.0,Gemini
8137EE686E3AD51755C9050F7576FDAAE7BBF09DC0CADBB88FC54EABC939C4F1BF56CD51D23A45ABBB7DEAB9ABCB1FBB,ETH2.0,Gemini
8179DE5FED371D959B9C9AD229B815FA1F7372A073C2ED26CCD3B38864A1C5280EAEBAFC3484435AA83F3FC60258C060,ETH2.0,Gemini
817F1B227136694B398C5459CCEBA4357B82B3E4A37816FF5B564EBD824EFF96F69C9011B2325E22BEF98A948C3213E1,ETH2.0,Gemini
8188FF0B5A2BE655D3E127763DD9F69D0ACDCDB9E5E6951E5E85C2DBD757D7313695A332CD79D03559B480C01D0CC5C1,ETH2.0,Gemini
81B182FAA3639FB20669778F58D4CB3DF585B0004E0588FC72528250DCA8E74FD02CB6CE78255117C7A03D31B3C1E3FA,ETH2.0,Gemini
81BBBE88CD88D516193D7302725E899311AD2A6DF69C675B6DC12159038347B69914ED30B942380611410D4A5C76506A,ETH2.0,Gemini
81DF20BA62B4BB05BBD0B3E57723BAB5F9D3295F35CBDA35DD14D9CC6EC0468959D3FB4C746ED8A924A582C1D416D99C,ETH2.0,Gemini
824B5C9727AEB2A6F306A0F980C2943D7E21AAE54B1D87BF37D8033CC167AC84CF5CE9728DA78F6C4E00274BE0CDB2E1,ETH2.0,Gemini
8257CE9A0B77E49368CEE20947CD2A13E75CDA204E6D67B07A9BAFF241F1CB24DC48E692A04CF37B4A6481006F393C00,ETH2.0,Gemini
82652C0E31417DD960DD0E795F56CD3D08D3EB37157A5C896B64C28AE3B231B4ECF510C26FFB9835B01DC6AC601E2DB0,ETH2.0,Gemini
826FE620384D2E2A09E340DF2926140BCFE0B3E117F41B928236CA3BAE60EB7872DD0272A027296947343A0D444B7B55,ETH2.0,Gemini
82843E8121A16ACABA11FB12EAB031E8DC65C344F6E1061E21B2CE3689A5E1308F8AE0E8CB8A9E68219CFD7CD4F3326A,ETH2.0,Gemini
8289C7E6A6B3D78F581CB4CCCBC0210664B8F560DD72FAFE05C52ED32046E49DCE552D971265760C8862503AC673366A,ETH2.0,Gemini
8296D4AA43ABC1BAA40C760BFCADD67B2138A0D767FC0C08BA709F7E6BC2BB0B6B8F56B327FA96C79F54FA5036E154AD,ETH2.0,Gemini
82A12667A41A1595C37FC2752B7A061C8FD25E55AA58D6F7B5273087383172393651E7009CEE2C3833CD688DB865FF1C,ETH2.0,Gemini
82BF1D2FC3C631FDDDFAC359B95B42DCF2D832BEEAE148582B5D60BDCFF8896D8C91E1FD323CE26C9CBE3C6308D44A72,ETH2.0,Gemini
82DC07FC95655C2FA1F36A74726DA2FD8A026859C7B9EA927AE96714D2BFDDF3565AFAF288A14CE875860CD2D762EE69,ETH2.0,Gemini
82ED5EC745C228CB734FA78CAD858525C8516E3DFE903E74D85CF4539267C5235714D613169850A26C66DD2E37CED053,ETH2.0,Gemini
82FBD5CC8D02E5BECFC6668E82674E0ED96CFBDEB11FADF44FC04EC6D10777C7A7061643C41A42502B4E1038BAD20EC0,ETH2.0,Gemini
831764364DA30AD541C8BDAEA787C8401D27984B21B860C593664710DA720244FA80DABBF6C019234732963A1C20BD5C,ETH2.0,Gemini
831D60E358B4EE64AAA23FA3C740F4599CE920B3EC5A8CB5554A41C83FCF947BBD1709439A427A519A0EA1A54674ABEE,ETH2.0,Gemini
8321E2BFEFB62293E21BC0A327BDC59C81A157B6676EE6D44321955067D5CAF5D9DF2B7476007D17B22AAE94A98DF01E,ETH2.0,Gemini
8323FB5B976B6EB7BE8A71D333F11FE9761966891080DCB761A011856DE0D86700223AEF95F462FE6B09E7A421D7ABB0,ETH2.0,Gemini
83448169B383BE05998570AB9581368B66D24C4D8E428AD74F734067E487EFB202660A1500EDF29D9D023D148B3F89BB,ETH2.0,Gemini
834A18C99A6FCD891797DBC0BFB20FD2EE80556573EFB6769686DD0EF219825D6FD90E72785F5DF71D001C70936007E4,ETH2.0,Gemini
836C2DD96F62AC862068A0C2DC16201106D688E99171BFFCD9E25C6C245AFBBCCC0E6C404D12DFF22B7D3BD77161FC01,ETH2.0,Gemini
837656DBE680474663D06E3A7AAF95F022ACB57C6B913D16F107F786B0F5E7118898B245B87DF91582C10D5BD5F9C86F,ETH2.0,Gemini
837B7C476EAD0525AA39FC70D349F1A7F4017B9997F2E77E03517807BCDF0C5A273B7A408E4C4CA9CFBEC05467198F4A,ETH2.0,Gemini
8390693B41D049D6DE9B2AE31F2C13F313A676AAC741349ED5C3A6FFB06293B81AE1212D4D0A79815F5FD455C1A37685,ETH2.0,Gemini
83D5D1EE27555471F4A5136D90A4AF0C2F7079A2EC2D58F8FA50771086459A67C1187E552EB74F5687197073108B7536,ETH2.0,Gemini
83EFD7A22BE91F8287ADF7F175645AD81775558438579F044C764F45468E7CA1D605E4874A391887E5835EBB45A485CE,ETH2.0,Gemini
83FF972607528C4578905A990F22560F805A5963DD3A89C5A06A898997F67B886F97C2DD1A2A7E563ECA38EB2DE09F38,ETH2.0,Gemini
8420EA740C2E8B4BE98D360D7E3DF346FB2746624E8959657FF80F9C57F24181295996BC705551A0A3C83C4C69F3E306,ETH2.0,Gemini
8431A2C55C159522AB03E57CD5EA343C111F2681A61D67B0109F721E626C502DEEB40835E2BE37A41556C97229DF512B,ETH2.0,Gemini
843E7478AEC3ABE82EA10F9CD3B82452B7EF4FA2553332A509F11D627679931826F7C218AF3E4B8E24409B7EF25B75B9,ETH2.0,Gemini
8443FFD5A861791B978758A87178A919EA6F6F1ACCDD9F98D3DCD4B77FC4E3B7636098ACACFB70F37867535C0D69808C,ETH2.0,Gemini
8447BAE7124AD2A8989AEF62DA0CDA484127800EFF2459FE88785DFE7336DA00A211B7D1560728A34535B57D01558E76,ETH2.0,Gemini
84603C798FD12CCBBAAB6C64CE81AECA3FA9AA19BF5CD7F0828D20A8D62E1D42BECA05E0E4647D35F97115C3EA8A83F8,ETH2.0,Gemini
8461FB033EE01747CE924AA1F50D1E9E3EAE7F6880C5AA262B6810E811D31BE3A8EDE6F3BC8D41F60FE41A7EFC14A634,ETH2.0,Gemini
84740F74C01783AEBB9104CCB77F35B8B07019B4B0CB6687C1D778BD18B1C2F374620BFDB8D5D68D08C29110ADB2403D,ETH2.0,Gemini
847875BFA736B059D8709C421AC3B63F99AA54E739F304374C465A7B327968164F8F2E23565D0BF0D433A7DE6A877E9B,ETH2.0,Gemini
8484D1BF220384F3B7447097957ADCCD8B0F3298A6633B316F53BA61034ECCFA55446A39B87D403EE24856DE041D6CE1,ETH2.0,Gemini
848667087342E9D9FF93A71951B945DEFD4ED869FCC4570800B4D2CE51767126F92F037576B24DC9CC4EEAB4AAD0F4DF,ETH2.0,Gemini
84A602A181B71D5AF385612222A72D7F516B653DAC72B118983707BBDEB13474FB5B46BAE8CCDBBBD00B18F2F0C7BB89,ETH2.0,Gemini
84A70206A62DC4C7833AA4DDFB28EE4C24ECA42F1251F313688698E0937B476CCFFCE08C566F089E416130BA2FEB3449,ETH2.0,Gemini
84B7BB4A5562DAAB65723820E18371FFAEA02A2180319D0B965FBE13208D60C32985A76C720D9FE83D2D3C8F57CC02DE,ETH2.0,Gemini
84CAC1770834772F9A460521E695F01042A0802364D306BB9D5E4F87866387A7934BC9D7610FA5F7FA7B0F18D9B19D17,ETH2.0,Gemini
