address,version,entity
800AA7799FCC0B8A0873D4710EB5A8EC3E4C42E55887AA537CC43BDB2DC8B204CA96762712FC2528C1E0452FCE7C1E67,ETH2.0,Poloniex
800D0420D4A944AC16BB7F9E95A6D0DBCCCFEE7AA4D95ED2D872153068956AF1B32881598EDFB2F5FF64C402EB076F1D,ETH2.0,Poloniex
8017D1F0FEB964BC0C160DAB1E91E3834B060EF0FA7F14F32DF49ADD5CF4521A20E815F540AA764230E4B92A09C13EFC,ETH2.0,Poloniex
80197F4F0A480A7B9BF4ECD52623C836AA4AB3ED6FBA5C0BC5CC008522D869159611F5F3DD50F509CB9426DC0E76F237,ETH2.0,Poloniex
8024361A3905A564CF65F32EDC35D09E4EB32AF62E0D0CE1BFE407CEF73A3D94EFA69270FE308FC9B57615F3D6F4A71F,ETH2.0,Poloniex
8029093D832C9CE99BE0CF43CFF61D3E86043ECC47C8074A1E012CD2E69B57D186E46FB34AF34A8DE41EFAF1AEB17319,ETH2.0,Poloniex
80338A37B10A1C8E3F297066FF62E623DCF51CCA16BD53D791E7A34CA100D1B58CB3DD1C70C00F0A971D798B3D6A54EE,ETH2.0,Poloniex
8033FCD38B1E814AD745C7021646BE4E3D996EC02DC7B9DF74AF72D69245180DF662D5C194805D0477D31A6592C658B4,ETH2.0,Poloniex
804272E6019721164D04F68D7D3CE8BCB10F15002F47BC3D2D587521000439D574447CFB982E923CC760EB0A42149A9C,ETH2.0,Poloniex
8049B7648B18210A3A1109DFC017A23A5280AF9061D37084D85F3FEF2D99767D363355DFD203845D5AB0FC1579D14D79,ETH2.0,Poloniex
805F87DFF9EA9EECD69E1B9661D924A7EDD6387D392AC7F99F325821D46C6E1F5AF3C19F3CC846854E12E8505DE38C7D,ETH2.0,Poloniex
807E9F6D5C423FE8310ACB9D749425DBC231B96D7EB39AFB3E5FF21FF208D71E02369033CA71A5107C1B8465EFB7BD8C,ETH2.0,Poloniex
807F184224B961C4E29BE8B781F9E9D7DEB808CE64FE32EFF837D9C6B6520288736217477BA9E0AB4EBD2DFB1C70C38B,ETH2.0,Poloniex
8080A892D1457B94EFBB31C1158B9EC91683B0D8220619C3D44118908A9BD89E83506028E7A2D27FDDE62FF83DB80152,ETH2.0,Poloniex
8087397AFCABB2668A8E87F61F4F46FA483991BF51FB05A31B4EB4438B31A89C2553A763EA279244908A929C374212F4,ETH2.0,Poloniex
808F7622D2E29B3DCDB4564FB140503B1B77A4CD99244283328308AB704F61A00691CE2EF26B89862D822EB1592AB633,ETH2.0,Poloniex
8091305002F1DCB80D244B744C4502E99DF9A70F90890E575556C70B2BFC6B13432CA2F238A006739AFFA96AE9B71128,ETH2.0,Poloniex
809466E1B3B839C8F55D4A90E4B7C9273D10177866818F15F6265AF4E7E0ED67FDEBE9F88138FC1760C3E16132A33A2D,ETH2.0,Poloniex
80A19FA749508E065B7929D34BDD4ED0BC14E70FC5281DCCD77CC6537BFD3BF43F85E2EE64953D79169D4375AA2D3D57,ETH2.0,Poloniex
80B347D47AA7FA2CF7642B230A9DA67A677E76CD05D1F8AE881EFA1691C1D55BA90A3E6C9FDAD2C083D38F4F70EBEFDA,ETH2.0,Poloniex
80D974A74963D34EAFA079F4EB2606AA71EF89F31A0729C717D26978CCAFCDFE29976D59FE7EDEBC326CD28F2F2053E3,ETH2.0,Poloniex
80FEA7628B44CFB199128EF296649A2FA41F6C3B0EC6E3E910399239158652CC7F183FE99C06909C16EF3704A3A32134,ETH2.0,Poloniex
8107768BF11FB70D6285AD8553742AAC4E3E90E4CC94C5527AD0F09D3E67507CDF55A297B61E5F9972EF7F8A87722F19,ETH2.0,Poloniex
810B6F6483A86BC2B37BE6F7BF2E7B3129452909D8969B80B157B4856E4ED457302A34F12BDA4593BC55BDD59AAFCBA0,ETH2.0,Poloniex
8141BB9F71125E48481D300483E54B5CABC6C006ACE3717669BD69BFD01ECADE3C76AA1E6FE5D962C3411148110B2F48,ETH2.0,Poloniex
8154B18EC5C7B491BC2494A22FF6B5EE41D56A7065DE2F8EE9C4800A728B2467C139D47CCED41F2466698B9775BFD2B1,ETH2.0,Poloniex
